N2	N2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
12.23	11.14	10.60	9.79	8.60	7.49	7.18	6.87	6.43	6.06	6.06	6.06

N2	O2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
10.16	9.57	8.97	7.39	6.42	5.59	5.35	5.20	4.90	4.60	4.20	4.20	

N2	NO
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.88	10.61	10.24	9.35	8.12	6.82	6.43	6.12	5.66	5.31	4.71	4.71

N2	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
10.10	9.08	8.57	7.70	6.65	5.65	5.35	5.05	4.61	4.25	4.25	4.25

N2	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
8.07	7.46	7.15	5.93	5.17	4.77	4.31	4.19	3.95	3.71	3.38	3.38

N2	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
10.93	9.57	9.33	8.35	7.40	6.51	6.22	5.98	5.61	5.31	4.80	4.80

O2	O2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.12	9.88	9.53	8.69	7.60	6.52	6.22	5.99	5.64	5.39	4.94	4.94

O2	NO
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.39	10.10	9.75	8.89	7.74	6.56	6.23	5.98	5.59	5.31	4.82	4.82

O2	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
7.56	7.56	7.26	6.55	5.60	4.75	4.49	4.28	3.96	3.72	3.31	3.31

O2	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
9.10	8.08	7.58	6.74	5.70	4.78	4.54	4.29	3.96	3.71	3.71	3.71

O2	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.30	9.86	9.59	8.52	7.42	6.39	6.08	5.83	5.44	5.16	4.67	4.67

NO	NO
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.66	10.33	9.97	9.09	7.90	6.60	6.34	5.96	5.54	5.23	4.70	4.70

NO	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
8.21	8.21	7.86	6.99	5.90	4.91	4.61	4.37	4.01	3.73	3.27	3.27

NO	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
7.57	7.57	7.27	6.55	5.62	4.78	4.52	4.31	4.00	3.76	3.35	3.35

NO	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.44	10.10	9.73	8.86	7.78	6.66	6.32	6.06	5.67	5.37	4.86	4.86

N	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
8.07	7.03	6.82	5.96	5.15	4.39	4.14	3.94	3.61	3.37	2.92	2.62

N	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
8.32	7.34	7.12	6.22	5.26	4.45	4.21	4.01	3.69	3.43	2.98	2.66

N	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
7.94	7.94	7.62	6.79	5.72	4.76	4.47	4.25	3.89	3.64	3.19	3.19

O	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
8.53	7.28	7.00	5.89	4.84	4.00	3.76	3.57	3.27	3.05	2.65	2.39

O	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
9.62	8.72	8.49	7.58	6.52	5.54	5.24	5.00	4.64	4.37	3.90	3.58

Ar	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.67	10.05	9.76	8.61	7.50	6.47	6.16	5.90	5.51	5.22	4.72	4.41

e	N2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
1.56	1.56	1.68	2.17	2.91	3.59	3.80	3.93	3.99	3.91	3.57	3.29

e	O2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
1.31	1.31	1.31	1.31	1.72	1.99	2.04	2.06	2.06	2.05	1.99	1.96

e	NO
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
4.53	4.53	4.53	4.53	4.53	4.64	4.29	3.97	3.48	3.17	2.75	2.55

e	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
9.04	9.04	9.04	9.04	9.04	4.06	3.33	2.93	2.53	2.34	2.13	1.98

e	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
0.72	0.72	0.72	0.72	0.85	0.98	1.02	1.05	1.09	1.13	1.20	1.26

e	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
0.12	0.12	0.12	0.12	0.19	0.43	0.55	0.66	0.89	1.12	1.68	2.23

