N2	N2	-7.6303990E-03	1.6878089E-01	-1.4004234E+00	2.1427708E+03
N2	O2	-8.0457321E-03	1.9228905E-01	-1.7102854E+00	5.2213857E+03
O2	O2	-6.2931612E-03	1.4624645E-01	-1.3006927E+00	1.8066892E+03
N2	N	-8.3493693E-03	1.7808911E-01	-1.4466155E+00	1.9324210E+03
O2	N	-1.0608832E-03	1.1782595E-02	-2.1246301E-01	8.4561598E+01
N	N	-7.7439615E-03	1.7129007E-01	-1.4809088E+00	2.1284951E+03
N2	O	-8.3110691E-03	1.9617877E-01	-1.7205427E+00	4.0812829E+03
O2	O	-3.7969686E-03	7.6789981E-02	-7.3056809E-01	3.3958171E+02
N	O	-5.0478143E-03	1.0236186E-01	-9.0058935E-01	4.4472565E+02
O	O	-4.2451096E-03	9.6820337E-02	-9.9770795E-01	8.3320644E+02
N2	NO	-6.8237776E-03	1.4360616E-01	-1.1922240E+00	1.2433086E+03
O2	NO	-6.8508672E-03	1.5524564E-01	-1.3479583E+00	2.0037890E+03
NO	N	-1.4719259E-03	1.8446968E-02	-2.6460411E-01	1.0911124E+02
NO	O	-1.0066279E-03	1.1029264E-02	-2.0671266E-01	8.2644384E+01
NO	NO	-7.4942466E-03	1.6626193E-01	-1.4107027E+00	2.3097604E+03
N2	NOp	0.0000000E+00	8.5112236E-02	-1.7460044E+00	1.4498969E+05
O2	NOp	0.0000000E+00	8.4737359E-02	-1.7290488E+00	1.2485194E+05
N	NOp	-2.1009546E-02	5.8910426E-01	-5.6681361E+00	2.4486594E+09
O	NOp	-1.5315132E-02	4.3541627E-01	-4.2864279E+00	3.5125207E+07
NO	NOp	1.1055777E-02	-1.6621846E-01	1.4372166E-01	1.3182061E+03
e	N2	-4.2254948E-03	-5.2965163E-02	1.9157708E+00	6.3263309E-04
e	O2	9.6744867E-03	-3.3759583E-01	3.7952121E+00	6.8468036E-06
e	N	-1.0903638E-01	2.8678381E+00	-2.5297550E+01	3.4838798E+33
e	O	-1.7924100E-02	4.0402656E-01	-2.6712374E+00	4.1447669E+02
e	NO	0.0000000E+00	5.4444485E-02	-1.2854128E+00	1.3857556E+04
N2	Np	-7.0776069E-03	1.7917938E-01	-1.9102410E+00	4.6736263E+04
O2	Np	9.8019578E-03	-1.4699425E-01	3.9382460E-02	1.5112165E+03
N	Np	-1.4271306E-02	3.0401993E-01	-2.4573879E+00	5.3694705E+04
O	Np	-1.7907392E-02	4.1207892E-01	-3.5343610E+00	1.4987678E+06
NO	Np	1.1716366E-02	-1.9289789E-01	4.0269474E-01	6.0891590E+02
N2	Op	1.8733000E-02	-3.6163781E-01	1.6947101E+00	2.5244859E+01
O2	Op	1.4207970E-02	-2.4736726E-01	7.4561859E-01	3.2519188E+02
N	Op	-2.1681211E-02	5.2300453E-01	-4.5118623E+00	2.3467766E+07
O	Op	-1.6032919E-02	3.7114396E-01	-3.2050078E+00	5.8099314E+05
NO	Op	1.8015337E-02	-3.4415293E-01	1.5658151E+00	3.3303758E+01
N2	N2p	-1.6447237E-02	4.7759522E-01	-4.7641986E+00	2.9127542E+08
O2	N2p	-4.9176811E-03	1.9694738E-01	-2.5025540E+00	6.8213629E+05
N	N2p	-1.2882395E-02	3.7306469E-01	-3.7106760E+00	7.5444981E+06
O	N2p	-1.7420606E-02	4.7126950E-01	-4.3841087E+00	2.8275095E+07
NO	N2p	-4.0133981E-03	1.7290664E-01	-2.2855449E+00	3.6429320E+05
N2	O2p	2.2455421E-02	-4.5106797E-01	2.3763420E+00	4.7754696E+00
O2	O2p	2.8664463E-02	-5.8087240E-01	3.2564558E+00	6.6890428E-01
N	O2p	1.1205000E-02	-1.8182149E-01	3.2624972E-01	5.5186183E+02
O	O2p	0.0000000E+00	8.3446262E-02	-1.7191179E+00	8.0539928E+04
NO	O2p	2.2679271E-02	-4.5710920E-01	2.4427275E+00	3.6733514E+00
